"","index","province","name","position","link"
"50",50,"内蒙古","李佳","中央候补委员，党委副书记、政法委书记","http://district.ce.cn/newarea/sddy/201302/01/t20130201_24087962_3.shtml"
"51",51,"内蒙古","张建民<U+00A0>","常委、常务副主席<U+00A0>","http://district.ce.cn/newarea/sddy/201611/26/t20161126_18173278_3.shtml"
"52",52,"内蒙古","王莉霞<U+00A0>","常委、统战部部长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/29/t20161129_18227872.shtml"
"53",53,"内蒙古","曾一春<U+00A0>","常委、组织部长","http://district.ce.cn/newarea/sddy/201611/26/t20161126_18173278_5.shtml"
"54",54,"内蒙古","刘奇凡<U+00A0>","常委、纪委书记<U+00A0><U+00A0>","http://district.ce.cn/newarea/sddy/201611/26/t20161126_18173278_6.shtml"
"55",55,"内蒙古","张院忠<U+00A0>","常委、包头市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201612/07/t20161207_18484307_1.shtml"
"56",56,"内蒙古","云光中<U+00A0>","常委、呼和浩特市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201701/09/t20170109_19475871.shtml"
"57",57,"内蒙古","白玉刚<U+00A0>","常委、宣传部部长<U+00A0>","http://district.ce.cn/newarea/sddy/201612/01/t20161201_18303546.shtml"
"58",58,"内蒙古","罗永纲","常委、秘书长","http://district.ce.cn/newarea/sddy/201612/07/t20161207_18484307.shtml"
"59",59,"内蒙古","李杰翔<U+00A0>","常委、通辽市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23341381.shtml"
"60",60,"吉林","巴音朝鲁","中央委员，省委书记、省人大主任","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272.shtml"
"61",61,"吉林","刘国中<U+00A0>","副书记、省长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272_1.shtml"
"62",62,"吉林","高广滨","中央候补委员、副书记","http://district.ce.cn/newarea/sddy/201512/01/t20151201_7245934_1.shtml"
"63",63,"吉林","张安顺","常委、省委秘书长","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272_3.shtml"
"64",64,"吉林","王君正","常委、长春市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272_5.shtml"
"65",65,"吉林","林武<U+00A0>","常委、常务副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272_6.shtml"
"66",66,"吉林","姜治莹<U+00A0>","常委、延边州委书记","http://district.ce.cn/newarea/sddy/201707/27/t20170727_24498772_1.shtml"
"67",67,"吉林","胡家福<U+00A0>","常委、政法委书记、公安厅长<U+00A0>","http://district.ce.cn/newarea/sddy/201707/31/t20170731_24623988_1.shtml"
"68",68,"吉林","陶治国<U+00A0>","常委、纪委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272_8.shtml"
"69",69,"吉林","王晓萍<U+00A0>","常委、宣传部长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272_9.shtml"
"70",70,"吉林","王凯","常委、组织部长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/31/t20170531_23328272_10.shtml"
"71",71,"吉林","李景浩<U+00A0>","常委、统战部长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/01/t20170601_23367159.shtml"
"72",72,"安徽","李锦斌","书记，省人大主任","http://district.ce.cn/newarea/sddy/201701/22/t20170122_19782879.shtml"
"73",73,"安徽","李国英","中央候补委员、副书记、省长","http://district.ce.cn/newarea/sddy/201701/22/t20170122_19782879_1.shtml"
"74",74,"安徽","信长星","副省长","http://district.ce.cn/newarea/sddy/201611/03/t20161103_17494934_2.shtml"
"75",75,"安徽","邓向阳","副省长","http://district.ce.cn/newarea/sddy/201709/13/t20170913_25949928_1.shtml"
"76",76,"安徽","刘惠","常委、省纪委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201611/03/t20161103_17494934_6.shtml"
"77",77,"安徽","张曙光","常委、统战部长<U+00A0>","http://district.ce.cn/newarea/sddy/201704/01/t20170401_21665232_1.shtml"
"78",78,"安徽","孙云飞","常委、六安市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201701/25/t20170125_19876245.shtml"
"79",79,"安徽","姚玉舟","常委、政法委书记","http://district.ce.cn/newarea/sddy/201611/15/t20161115_17819662.shtml"
"80",80,"安徽","虞爱华","常委、宣传部长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/12/t20161112_17741249.shtml"
"81",81,"安徽","宋国权","常委、合肥市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201611/11/t20161111_17731671.shtml"
"82",82,"安徽","严植婵","常委、组织部长","http://district.ce.cn/newarea/sddy/201709/13/t20170913_25949928.shtml"
